source,strategy,src_codec,src_pix,res,fps,src_dur_s,out_codec,out_pix,container,gop_frames,elapsed_s,realtime_x,enc_fps,cpu_pct,gpu_pct,src_mb,out_mb,size_x,out_mbps,seek_med_ms,seek_p95_ms,seek_max_ms,spawn_ms,status
hdr_4k60_vp9_10bit,remux_mp4,vp9,yuv420p10le,3840x2160,59.94,66.1,vp9,yuv420p10le,mp4,-,0.21,316.05,18943.6,-1,-1,238.2,238.2,1.0,28.83,445.6,914.0,1087.5,123.8,ok
hdr_4k60_vp9_10bit,mpeg4_g250ms,vp9,yuv420p10le,3840x2160,59.94,66.1,mpeg4,yuv420p,mp4,15,23.66,2.79,167.5,91.3,6.8,238.2,802.0,3.368,97.06,125.6,153.1,171.9,92.8,ok
hdr_4k60_vp9_10bit,mpeg4_g500ms,vp9,yuv420p10le,3840x2160,59.94,66.1,mpeg4,yuv420p,mp4,30,25.52,2.59,155.3,94.5,1.6,238.2,741.2,3.112,89.71,140.8,172.4,178.4,104.6,ok
hdr_4k60_vp9_10bit,mpeg4_g1000ms,vp9,yuv420p10le,3840x2160,59.94,66.1,mpeg4,yuv420p,mp4,60,26.04,2.54,152.2,95.2,0.7,238.2,710.3,2.983,85.97,153.3,219.6,241.8,98.6,ok
hdr_4k60_vp9_10bit,mpeg4_g500ms_q5,vp9,yuv420p10le,3840x2160,59.94,66.1,mpeg4,yuv420p,mp4,30,24.64,2.68,160.8,95.7,1.2,238.2,438.2,1.84,53.03,137.1,161.0,170.6,95.0,ok
hdr_4k60_vp9_10bit,av1_nvenc_g500ms,vp9,yuv420p10le,3840x2160,59.94,66.1,av1,yuv420p10le,mp4,30,8.34,7.92,474.9,27.9,92.8,238.2,292.2,1.227,35.36,150.8,226.5,255.3,69.2,ok
hdr_4k60_vp9_10bit,av1_nvenc_g1000ms,vp9,yuv420p10le,3840x2160,59.94,66.1,av1,yuv420p10le,mp4,60,8.35,7.92,474.7,27.1,99.7,238.2,284.5,1.194,34.43,187.1,379.8,631.3,70.1,ok
hdr_4k60_vp9_10bit,av1_nvenc_g500ms_p4,vp9,yuv420p10le,3840x2160,59.94,66.1,av1,yuv420p10le,mp4,30,21.88,3.02,181.1,19.4,49.0,238.2,286.6,1.203,34.68,226.8,360.5,383.6,85.0,ok
hdr_4k60_vp9_10bit,svtav1_p12_g500ms,vp9,yuv420p10le,3840x2160,59.94,66.1,av1,yuv420p10le,mp4,30,67.15,0.98,59.0,84.7,1.5,238.2,275.4,1.157,33.33,184.4,294.7,327.4,98.5,ok
hdr_4k60_vp9_10bit,vp9_rt_g500ms,vp9,yuv420p10le,3840x2160,59.94,66.1,vp9,yuv420p10le,mkv,30,71.4,0.93,55.5,70.8,1.4,238.2,398.8,1.674,48.26,267.8,391.9,422.0,144.4,ok
talk_1080p30_vp9,remux_mp4,vp9,yuv420p,1920x1080,29.97,62.53,vp9,yuv420p,mp4,-,0.05,1273.62,38170.7,-1,-1,15.2,15.3,1.002,1.95,78.5,109.5,134.3,50.5,ok
talk_1080p30_vp9,mpeg4_g250ms,vp9,yuv420p,1920x1080,29.97,62.53,mpeg4,yuv420p,mp4,7,1.85,33.85,1014.6,67.6,4.3,15.2,72.1,4.732,9.22,61.9,73.6,90.3,52.2,ok
talk_1080p30_vp9,mpeg4_g500ms,vp9,yuv420p,1920x1080,29.97,62.53,mpeg4,yuv420p,mp4,15,1.78,35.18,1054.4,63.5,2.7,15.2,49.1,3.225,6.28,59.3,67.2,72.8,49.6,ok
talk_1080p30_vp9,mpeg4_g1000ms,vp9,yuv420p,1920x1080,29.97,62.53,mpeg4,yuv420p,mp4,30,1.71,36.51,1094.4,52.6,0.0,15.2,38.9,2.556,4.98,59.4,67.9,78.5,50.8,ok
talk_1080p30_vp9,mpeg4_g500ms_q5,vp9,yuv420p,1920x1080,29.97,62.53,mpeg4,yuv420p,mp4,15,1.66,37.76,1131.7,63.6,0.0,15.2,32.9,2.161,4.21,58.6,66.5,73.1,51.6,ok
talk_1080p30_vp9,av1_nvenc_g500ms,vp9,yuv420p,1920x1080,29.97,62.53,av1,yuv420p,mp4,15,2.06,30.42,911.6,24.3,35.3,15.2,44.9,2.948,5.74,61.6,92.8,114.6,40.6,ok
talk_1080p30_vp9,av1_nvenc_g1000ms,vp9,yuv420p,1920x1080,29.97,62.53,av1,yuv420p,mp4,30,2.0,31.25,936.5,23.2,46.0,15.2,37.0,2.431,4.74,71.5,119.5,128.7,40.2,ok
talk_1080p30_vp9,av1_nvenc_g500ms_p4,vp9,yuv420p,1920x1080,29.97,62.53,av1,yuv420p,mp4,15,3.06,20.46,613.3,26.4,36.8,15.2,45.6,2.996,5.84,62.7,97.5,117.7,42.0,ok
talk_1080p30_vp9,svtav1_p12_g500ms,vp9,yuv420p,1920x1080,29.97,62.53,av1,yuv420p,mp4,15,4.55,13.74,411.7,77.6,0.2,15.2,36.4,2.387,4.65,47.1,89.1,96.6,39.5,ok
talk_1080p30_vp9,vp9_rt_g500ms,vp9,yuv420p,1920x1080,29.97,62.53,vp9,yuv420p,mkv,15,4.16,15.04,450.6,54.3,0.0,15.2,44.7,2.932,5.71,69.3,118.5,126.1,58.2,ok
